ID,treatment,N,P,Carbon,,top,NPP,CR,GPP
A1,P+G,,,,,sponge,-0.01792312,-0.055487337,0
A2,P+G,,,,,sponge,-0.032458828,-0.06411952,0
A3,G,,,,,glass,-0.024318831,-0.057985075,0
A4,N+P+G,,,,,sponge,-0.217353039,-0.236989632,0
A5,N+P,,,,,glass,0.003578881,-0.033376486,0
A6,N+P,,,,,glass,-0.007097271,-0.03123833,0
A7,P,,,,,glass,0.000555062,-0.033376486,0
A8,L+N+P,,,,,sponge,-0.164453867,-0.198416614,0
B1,control,,,,,glass,-0.040265962,-0.033824387,0.006441576
B2,N+G,,,,,sponge,-0.16060303,-0.203382758,0
B3,control,,,,,sponge,-0.031373495,-0.057945661,0
B4,G,,,,,sponge,-0.042829787,-0.071425197,0
B5,G,,,,,glass,-0.021975954,-0.040624085,0
B6,L+P,,,,,sponge,-0.051081699,-0.071697315,0
B7,control,,,,,sponge,-0.047332278,-0.061492908,0
B8,N+P+G,,,,,glass,-0.102528397,-0.1430245,0
C1,L+N+P,,,,,glass,-0.037378606,-0.062911806,0
C2,L+N+P,,,,,sponge,-0.129212309,-0.154217925,0
C3,N+P+G,,,,,sponge,-0.19286985,-0.232953893,0
C4,L,,,,,sponge,-0.080797432,-0.127503936,0
C5,L,,,,,glass,-0.06584163,-0.102326367,0
C6,P,,,,,sponge,-0.036528826,-0.081331805,0
C7,N+P+G,,,,,glass,-0.082591804,-0.153312259,0
C8,N+P,,,,,glass,-0.012606606,-0.027215643,0
D1,L+N,,,,,glass,-0.041274709,-0.069712293,0
D2,L+N,,,,,sponge,-0.135152555,-0.220485894,0
D3,N,,,,,glass,0.004937968,-0.037390721,0
D4,N+P,,,,,glass,0.008533961,-0.037390721,0
D5,control,,,,,sponge,-0.016500921,-0.061283874,0
D6,N,,,,,sponge,-0.159314404,-0.233204965,0
D7,L+N,,,,,glass,-0.050337749,-0.090282612,0
D8,N,,,,,sponge,-0.116630479,-0.201131439,0
E1,L+N,,,,,sponge,-0.126608539,-0.213504234,0
E2,leachate+P,,,,,glass,-0.007806267,-0.0526579,0
E3,N+P+G,,,,,sponge,-0.14743266,-0.238459687,0
E4,N+G,,,,,sponge,-0.136893254,-0.232984999,0
E5,N,,,,,glass,-0.004170896,-0.044108262,0
E6,N+G,,,,,glass,-0.026965049,-0.088777013,0
E7,leachate,,,,,sponge,-0.010023501,-0.062205482,0
E8,G,,,,,sponge,-0.018557777,-0.069700017,0
F1,P,,,,,sponge,-0.025325545,-0.068337374,0
F2,N,,,,,sponge,-0.151434625,-0.218523899,0
F3,control,,,,,sponge,-0.011294837,-0.048940634,0
F4,L+N+P,,,,,glass,0.034289145,-0.03469564,0
F5,N,,,,,sponge,-0.158201854,-0.205635571,0
F6,N+P,,,,,sponge,-0.174637437,-0.220167894,0
F7,P+G,,,,,glass,0.001462552,-0.028136455,0
F8,L+N,,,,,glass,-0.025788553,-0.07520687,0
