stream,treatment,lost,cr,date,nrr,season
cougar,cellulose,n,0.090316631,5-Jun-16,1.412020817,spring
cougar,cellulose,n,0.111938749,5-Jun-16,1.750063541,spring
cougar,cellulose,n,0.082546569,5-Jun-16,1.290542747,spring
cougar,cellulose,n,0.06549232,5-Jun-16,1.023914623,spring
cougar,cellulose,n,0.085335482,5-Jun-16,1.334144943,spring
hurley,cellulose,n,0.013096752,30-May-16,0.230751578,spring
hurley,cellulose,n,0.141809877,30-May-16,2.498547177,spring
hurley,cellulose,n,0.159880526,30-May-16,2.816933799,spring
hurley,cellulose,n,0.078308829,30-May-16,1.379722677,spring
hurley,cellulose,n,0.1244222,30-May-16,2.192193825,spring
hovey,cellulose,n,0.040319297,5-Jun-16,1.17929513,spring
hovey,cellulose,y,0.036345704,5-Jun-16,1.063071903,spring
hovey,cellulose,y,0.040558968,5-Jun-16,1.186305254,spring
hovey,cellulose,n,0.041831889,5-Jun-16,1.223536803,spring
hovey,cellulose,n,0.044463459,5-Jun-16,1.300507333,spring
blue,cellulose,n,0.038939442,30-May-16,3.178377652,spring
blue,cellulose,n,8.37E-05,30-May-16,0.006828898,spring
blue,cellulose,n,0,30-May-16,0,spring
blue,cellulose,n,0,30-May-16,0,spring
jack,cellulose,y,0.083582179,30-May-16,2.362391903,spring
jack,cellulose,y,0.043622034,30-May-16,1.232946309,spring
jack,cellulose,n,0.088565947,30-May-16,2.503254628,spring
jack,cellulose,n,0.028957605,30-May-16,0.818466486,spring
jack,cellulose,n,0.047437712,30-May-16,1.34079379,spring
moonbeam,cellulose,n,0.080442114,30-May-16,0.704757193,spring
moonbeam,cellulose,n,0.061028733,30-May-16,0.534675635,spring
moonbeam,cellulose,n,0.074526425,30-May-16,0.652929563,spring
moonbeam,cellulose,n,0.068593534,30-May-16,0.600951217,spring
standup,cellulose,n,0.029950843,5-Jun-16,1.006574085,spring
standup,cellulose,n,0.035655512,5-Jun-16,1.198293994,spring
standup,cellulose,n,0.035313433,5-Jun-16,1.186797562,spring
standup,cellulose,y,0.044519382,5-Jun-16,1.496186832,spring
jungle,cellulose,n,0.024826137,5-Jun-16,1.238798129,spring
jungle,cellulose,y,0.02228136,5-Jun-16,1.111816428,spring
jungle,cellulose,n,0.02617322,5-Jun-16,1.306016152,spring
cougar,cellulose,n,-0.053021362,14-Jul-16,0.644889513,summer
cougar,cellulose,n,-0.113648057,14-Jul-16,1.382281362,summer
cougar,cellulose,n,-0.054489115,14-Jul-16,0.662741536,summer
cougar,cellulose,n,-0.047572573,14-Jul-16,0.578616855,summer
cougar,cellulose,n,-0.070681776,14-Jul-16,0.859690027,summer
hurley,cellulose,N/A,-0.021399272,14-Jul-16,0.907291381,summer
hurley,cellulose,N/A,-0.028219084,14-Jul-16,1.196439416,summer
hurley,cellulose,N/A,-0.036274244,14-Jul-16,1.537963983,summer
hurley,cellulose,N/A,-0.065559114,14-Jul-16,2.779590819,summer
hurley,cellulose,N/A,-0.051667315,14-Jul-16,2.190603042,summer
hovey,cellulose,N/A,-0.018971944,14-Jul-16,0.464646641,summer
hovey,cellulose,N/A,-0.026101605,14-Jul-16,0.639260956,summer
hovey,cellulose,N/A,-0.034742235,14-Jul-16,0.850880786,summer
hovey,cellulose,N/A,-0.021795557,14-Jul-16,0.533800447,summer
hovey,cellulose,N/A,-0.035660577,14-Jul-16,0.873372135,summer
hovey,cellulose,N/A,-0.043019098,14-Jul-16,1.053591504,summer
blue,cellulose,N/A,-0.09622101,14-Jul-16,3.381278036,summer
blue,cellulose,N/A,-0.047584952,14-Jul-16,1.672170695,summer
blue,cellulose,N/A,-0.028715104,14-Jul-16,1.00907016,summer
blue,cellulose,N/A,-0.041424744,14-Jul-16,1.455696387,summer
blue,cellulose,N/A,-0.05612168,14-Jul-16,1.972157666,summer
jack,cellulose,N/A,-0.02658744,13-Jul-16,1.575580094,summer
jack,cellulose,N/A,-0.025323449,13-Jul-16,1.500675595,summer
jack,cellulose,N/A,-0.044013472,13-Jul-16,2.608252236,summer
jack,cellulose,N/A,-0.032150656,13-Jul-16,1.905257996,summer
jack,cellulose,N/A,-0.027227973,13-Jul-16,1.613538302,summer
moonbeam,cellulose,N/A,-0.028260188,13-Jul-16,0.81098109,summer
moonbeam,cellulose,N/A,-0.042198275,13-Jul-16,1.210961615,summer
moonbeam,cellulose,N/A,-0.042038177,13-Jul-16,1.206367287,summer
moonbeam,cellulose,N/A,-0.055978462,13-Jul-16,1.606410917,summer
moonbeam,cellulose,N/A,-0.061467411,13-Jul-16,1.763926976,summer
standup,cellulose,,-0.053641974,13-Jul-16,2.120841664,summer
standup,cellulose,,-0.013056165,13-Jul-16,0.516201346,summer
standup,cellulose,,-0.010265499,13-Jul-16,0.405866815,summer
standup,cellulose,,-0.035296269,13-Jul-16,1.395507911,summer
standup,cellulose,,-0.037789232,13-Jul-16,1.494072126,summer
jungle,cellulose,N/A,-0.02414206,13-Jul-16,0.936866711,summer
jungle,cellulose,N/A,-0.031252659,13-Jul-16,1.212803573,summer
jungle,cellulose,N/A,-0.027344921,13-Jul-16,1.061158253,summer
jungle,cellulose,N/A,-0.035213212,13-Jul-16,1.366498408,summer
jungle,cellulose,N/A,-0.044092551,13-Jul-16,1.711073704,summer
cougar,frass,n,0.110790398,5-Jun-16,1.732110083,spring
cougar,frass,n,0.119131915,5-Jun-16,1.862522346,spring
cougar,frass,n,0.10739774,5-Jun-16,1.679068881,spring
cougar,frass,n,0.100096538,5-Jun-16,1.564921035,spring
cougar,frass,n,0.133153026,5-Jun-16,2.08173004,spring
hurley,frass,n,0.085912259,30-May-16,1.513687451,spring
hurley,frass,n,0.086139712,30-May-16,1.517694945,spring
hurley,frass,n,0.217265523,30-May-16,3.827999643,spring
hurley,frass,n,0.156913784,30-May-16,2.764662792,spring
hurley,frass,n,0.185506377,30-May-16,3.268435484,spring
hovey,frass,n,0.064465692,5-Jun-16,1.885550675,spring
hovey,frass,y,0.064465692,5-Jun-16,1.885550675,spring
hovey,frass,y,0.047560035,5-Jun-16,1.391078776,spring
hovey,frass,n,0.085304238,5-Jun-16,2.495055249,spring
hovey,frass,n,0.077733939,5-Jun-16,2.273632304,spring
blue,frass,n,0.110368597,30-May-16,9.00868276,spring
blue,frass,n,0.064688447,30-May-16,5.280104238,spring
blue,frass,n,0.036627783,30-May-16,2.989691717,spring
blue,frass,n,0.054899844,30-May-16,4.481123126,spring
