WSB,stream,season,FI,fresh,RFE,BIX
low,Standup,spring,0.972195662,0.90285957,-5314897358,1.032672751
high,Cougar,spring,1.461,0.681338,-41552920753,0.775488791
high,Hurley,spring,1.505,0.540508721,-2.37E+11,0.624578803
high,Hovey,spring,1.505,0.54,2.37E+11,0.625482625
high,Blue,spring,1.544,0.644335636,-35983620478,0.644335636
low,Jungle,spring,1.525666887,0.872240824,NA,0.905704662
NA,Litter,NA,0.641456583,1.311764706,NA,1.311764706
NA,Frass,NA,1.672484164,0.350279916,NA,0.627208704
low,Standup,summer,1.619405124,0.735735926,-7331103324,0.740483628
high,Cougar,summer,1.289,0.215772375,-26006278349,0.286698184
high,Hurley,summer,2.842,0.209293983,NA,0.345963898
high,Hovey,summer,1.797,0.037695625,40765127686,0.054003556
high,Blue,summer,1.112,0.395685311,38709906994,0.643349682
low,Jungle,summer,0.947677443,0.472174627,NA,0.905704662
